repo_name,CommitCount,DaysActive,AuthorCount,TimezoneCount,SponsoredAuthorCount,PercentageSponsoredAuthors,NumberPRs,NumberIssues,NumberPRComments,NumberIssueComments,PRCommentsPositive,PRCommentsNegative,IssueCommentsPositive,IssueCommentsNegative,PRCommentsNegativeRatio,IssueCommentsNegativeRatio,PRCommentsToxicityPercentage,IssueCommentsToxicityPercentage,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_TFN,commitCentrality_TFC,commitCentrality_NumberHighCentralityAuthors,commitCentrality_PercentageHighCentralityAuthors,AuthorActiveDays_mean,AuthorActiveDays_stdev,AuthorCommitCount_mean,AuthorCommitCount_stdev,commitCentrality_Centrality_mean,commitCentrality_Centrality_stdev,commitCentrality_Centrality_count,commitCentrality_Betweenness_mean,commitCentrality_Betweenness_count,commitCentrality_Closeness_mean,commitCentrality_Closeness_count,PRParticipantsCount_mean,PRParticipantsCount_stdev,IssueParticipantCount_mean,IssueParticipantCount_stdev,PRCommentsCount_mean,IssueCommentsCount_mean,PRDuration_mean,IssueDuration_mean,NumberReleases,ACCL,RPCPR,RPCIssue,FirstCommitDate,LastCommitDate,NumberActiveExperiencedDevs,SponsoredTFC,ExperiencedTFC
KeyAuth-JAVA-api,11,111,1,1,0,0.0,1,,0,,0,0,,,0.0,,0,,,0,1,0,100.0,1,1.0,112,0,11,0,1,0,1,0.0,1,0.0,1,1,0,,,0,,96,,,0,0,,2021-10-07,2022-01-27,,,
JavaDemoApplication,11,399,3,1,0,0.0,,,,,,,,,,,,,,0,3,3,0.0,0,0.0,9,13.0,3.6666666666666665,2.516611478423583,0.0,0.0,3,0.0,3,0.0,3,,,,,,,,,,,,,2016-10-06,2017-11-09,,,
JavaTutorialProjectsGuidedPersonal,1,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2023-11-03,2023-11-03,,,
Java-Demo-Application-with-Spring-Boot-and-Security,3,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,2025-08-16,2025-08-16,,,
Proj11x,1,0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2023-02-01,2023-02-01,,,
gateway-java-sample-code,564,700,21,5,12,0.5714285714285714,29,,3,,0,0,,,0.0,,0,,,0.4523809523809524,3,13,37.234042553191486,8,0.38095238095238093,113.47619047619048,166.54087157440333,26.857142857142858,53.05307315725048,0.4523809523809524,0.22387283805555247,21,0.03809523809523809,21,0.6037837294701461,21,1.5517241379310345,0.9851108312031163,,,0.10344827586206896,,273.3103448275862,,,0,0,,2017-11-28,2019-10-29,,,
JavaSamples1,1,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2022-06-17,2022-06-17,,,
outlook-actionable-messages-java-token-validation,27,977,5,2,3,0.6,,,,,,,,,,,,,,0.3,3,5,0.0,0,0.0,175.4,218.758542690337,5.4,4.61519230368573,0.3,0.27386127875258304,5,0.0,5,0.3,5,,,,,,,,,,,,,2016-11-17,2019-07-23,,,
Commerce-API-Java,16,19,2,1,0,0.0,1,1,0,1,0,0,0,0,0.0,0.0,0,0,0.0,1.0,1,0,100.0,2,1.0,10.5,13.435028842544403,8,9.899494936611665,1.0,0.0,2,0.0,2,1.0,2,1,0,1,0,0,1,3470,3567,,421.0,0,0,2015-08-22,2015-09-10,0,0.0,0.0
azure4j-blog-samples,15,20,1,1,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,21,0,15,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2012-05-24,2012-06-14,,,
Java_MVVM_with_Swing_and_RxJava_Examples,112,440,2,3,0,0.0,3,5,3,22,2,1,13,3,0.3333333333333333,0.0,0,0,0.6,1.0,1,0,100.0,2,1.0,221,311.1269837220809,56,73.53910524340094,1.0,0.0,2,0.0,2,1.0,2,1.6666666666666667,0.5773502691896257,2,0.7071067811865476,1,4.4,0.6666666666666666,1989.6,6,414.60606060606057,0,0,2015-09-12,2016-11-25,0,0.0,96.42857142857143
