repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
java_examples,4,6,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,7,65.0,13.0,14.0,1.6,1.0,1.4,0.2,0.2,0.0,0.0,6.86,1.14,2.0,153.8462,14,1871,3,2,1,0,1,1,624.67,4.67,10,0.6667,2,2,5,0,0,0
levelup-java-examples,389,1944,2333,0,0,381,3,0,0,2,0,0,0,0,0,0,0,0,8,2,1756,0,1,165,5,1,6,403,1781,13665.0,33.91,29.0,5.14,1.18,4.42,0.09,0.09,-0.3254,0.0,5.85,1.16,14.0,170.7281,592,955,2,4,1,0,37,1,478.5,296,591,1.0,0.14,2,2,1,0,0
ms-identity-android-java,11,51,62,0,0,6,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,41,6,0,0,9,124,1098.0,122.0,103.0,26.0,5.44,13.78,0.67,0.67,0.1802,0.11,10.31,1.89,5.0,56.4663,112,2221,28,8,7,0,75,26,100.64,4,32,0.0952,1.88,1.81,1.42,0,0,1
msa-ddd-eventsourcing,68,26,94,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,11,0,1,0,113,269,1765.0,15.62,7.0,3.51,1.34,2.38,0.75,0.75,-0.462,0.12,5.01,1.48,6.0,53.2578,70,60,6,1,1,0,18,6,15.67,11.67,23,1.0,1.17,1.5,1,0,0,0
neow3j-examples-java,51,59,110,0,0,46,5,0,0,0,0,0,0,0,0,0,0,0,4,3,20,0,0,32,0,0,0,57,152,1530.0,26.84,13.0,4.49,1.96,2.67,0.33,0.33,-0.2174,0.0,8.09,1.68,9.0,71.8954,351,2616,9,6,3,0,20,20,651.11,39,134,0.3333,1.85,2.4,3.05,0,0,1
reactive-refarch-cloudformation,8,18,26,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,1,6,1,0,0,9,56,557.0,61.89,82.0,8.67,4.78,6.22,1.11,1.11,0.0967,0.0,8.7,1.39,5.0,46.6786,130,2370,8,5,3,10,23,2,549.25,16.25,102,0.4643,1.35,2,2.5,0,0,1
redisson-examples,61,200,261,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192,0,4,4,0,0,0,62,176,1704.0,27.48,24.0,3.34,0.9,2.84,0.15,0.15,-0.7572,0.02,9.34,1.18,5.0,153.169,24,2871,7,5,4,0,7,22,499,3.43,15,0.1429,1.43,1.64,1.5,0,0,1
solent2Public,1908,1803,3711,0,0,1683,111,0,6,11,0,0,3,0,0,3,0,3,80,41,1229,0,94,295,9,15,37,1921,8407,69417.0,36.14,24.0,6.04,1.9,4.38,1.52,1.52,-0.2078,0.06,6.38,1.38,15.0,53.4595,733,1181,7,2,1,1,29,12,499.57,104.71,321,0.7143,1.03,1,0,0,0,0
solid,32,8,40,0,0,26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,1,0,32,86,445.0,13.91,13.0,2.81,1.03,2.69,0.19,0.19,-0.1688,0.56,2.76,1.05,3.0,89.8876,9,515,2,1,2,0,3,8,233.5,4.5,8,0.0,1.33,1,0,1,0,0
stock-trading-with-java-isc1128,32,195,227,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,16,24,98,0,0,36,0,21,0,33,180,3748.0,113.58,126.0,13.42,0.97,5.45,0.61,0.61,-0.6128,0.0,20.28,2.46,10.0,60.5656,43,303,5,2,2,0,12,1,110.6,8.6,20,0.6,2.17,1,0,0,0,0
taketoday-tutorial4j,10592,24189,34781,0,0,8774,512,6,32,103,1,0,137,0,10,1,3,4,87,164,19169,0,88,4318,242,55,62,14168,50026,309204.0,21.82,14.0,4.1,1.17,3.53,0.64,0.64,-0.412,2.67,5.03,1.16,34.0,112.4856,3025,476,1,1,1,0,1,1,477,3025,3025,1.0,2,2,0,1,0,0
tensorflow-java-examples-spring,13,35,48,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,0,0,13,0,0,0,25,135,820.0,32.8,27.0,6.4,2.08,5.4,0.96,0.96,-0.2274,0.04,4.58,1.19,5.0,58.5366,28,411,3,2,1,0,1,1,140.67,9.33,17,0.6667,2,4,4,0,0,0
testcontainers.testcontainers-java-examples,25,19,44,0,0,12,9,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,3,2,0,0,20,36,356.0,17.8,15.5,1.9,1.85,1.8,0.6,0.6,-0.3625,0.1,5.64,1.06,2.0,123.5955,32,940,6,8,3,0,9,5,208.83,5.33,12,0.4,2,1.4,2.4,0,0,1
tut-rest,35,17,52,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,36,114,560.0,15.56,5.0,3.53,0.83,3.17,1.08,1.08,-0.5886,0.0,4.02,1.11,3.0,92.8571,105,2575,21,10,8,1,69,84,171.71,5,32,0.1095,1.99,2.26,2.12,0,0,1
usb4java-examples,4,30,34,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,6,0,1,1,9,30,707.0,78.56,67.0,10.44,3.44,3.33,0.67,0.67,-0.2778,0.0,15.07,3.13,18.0,48.0905,26,2016,2,2,1,0,1,3,1158,13,23,1.0,1,1.33,0.67,1,0,0
usb4java-javax-examples,17,34,51,0,0,6,4,0,0,0,0,0,6,0,0,0,0,0,3,2,21,0,0,6,0,2,0,17,83,1258.0,74.0,49.0,9.29,2.53,4.88,1.29,1.29,-0.4191,0.35,7.47,1.9,10.0,40.5405,8,1694,1,2,1,0,3,2,1695,8,8,1.0,1,1.5,0.5,1,0,0
