repo_name,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
secure-pipelines-in-aws-workshop,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple-websockets-chat-app,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solent2Public,733,1181,7,2,1,1,29,12,499.57,104.71,321,0.7143,1.03,1,0,0,0,0
solid,9,515,2,1,2,0,3,8,233.5,4.5,8,0.0,1.33,1,0,1,0,0
stock-trading-with-java-isc1128,43,303,5,2,2,0,12,1,110.6,8.6,20,0.6,2.17,1,0,0,0,0
taketoday-tutorial4j,3025,476,1,1,1,0,1,1,477,3025,3025,1.0,2,2,0,1,0,0
tensorflow-java-examples-spring,28,411,3,2,1,0,1,1,140.67,9.33,17,0.6667,2,4,4,0,0,0
testcontainers.testcontainers-java-examples,32,940,6,8,3,0,9,5,208.83,5.33,12,0.4,2,1.4,2.4,0,0,1
traffic-manager-dotnet-manage-profiles,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tut-rest,105,2575,21,10,8,1,69,84,171.71,5,32,0.1095,1.99,2.26,2.12,0,0,1
usb4java-examples,26,2016,2,2,1,0,1,3,1158,13,23,1.0,1,1.33,0.67,1,0,0
usb4java-javax-examples,8,1694,1,2,1,0,3,2,1695,8,8,1.0,1,1.5,0.5,1,0,0
