repo_name,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density
tutorial_projects,3,7,78.0,26.0,22.0,4.0,2.0,2.33,0.67,0.67,-0.6667,0.0,9.14,1.71,4.0,76.9231
unsafe-java-world,16,24,261.0,16.31,13.0,2.0,0.19,1.5,1.44,1.44,-0.7604,0.0,9.0,1.33,3.0,145.5939
upacademyJavaStarterExamples,182,714,4342.0,23.86,12.5,5.54,1.07,3.92,0.53,0.53,-0.3923,0.47,5.24,1.41,8.0,84.293
usb4java-examples,9,30,707.0,78.56,67.0,10.44,3.44,3.33,0.67,0.67,-0.2778,0.0,15.07,3.13,18.0,48.0905
usb4java-javax-examples,17,83,1258.0,74.0,49.0,9.29,2.53,4.88,1.29,1.29,-0.4191,0.35,7.47,1.9,10.0,40.5405
visa-java-sample-code,240,1840,16735.0,69.73,21.0,12.51,2.0,7.67,0.55,0.55,-0.3265,0.16,6.84,1.63,11.0,44.1589
vydya-java,24,109,978.0,40.75,39.5,9.0,2.21,4.54,1.08,1.08,-0.1667,0.0,7.55,1.98,8.0,52.1472
wagetracker,20,88,562.0,28.1,26.0,5.35,1.75,4.4,1.15,1.15,-0.2919,0.0,5.41,1.22,6.0,172.5979
weatherApp,6,24,212.0,35.33,36.0,5.83,3.0,4.0,0.33,0.33,-0.1667,0.0,7.21,1.46,8.0,117.9245
webapp_with_jetty,1,8,98.0,98.0,98.0,17.0,6.0,8.0,0.0,0.0,0.875,0.0,10.38,2.12,6.0,61.2245
